Date	Time	ElapsedMicrosecs	WeightFromScale [g]
2023-08-01	14:12:07	16518220	120.3790
2023-08-01	14:12:07	16524446	120.3790
2023-08-01	14:12:07	16530437	120.3790
2023-08-01	14:12:07	16534869	120.3790
2023-08-01	14:12:07	16539722	120.3790
2023-08-01	14:12:07	16543912	120.3790
2023-08-01	14:12:07	16555150	120.3790
2023-08-01	14:12:07	16564740	120.3790
2023-08-01	14:12:07	16576245	120.3790
2023-08-01	14:12:07	16580885	120.3790
2023-08-01	14:12:07	16584733	120.3790
2023-08-01	14:12:07	16590698	120.3790
2023-08-01	14:12:07	16595764	120.3790
2023-08-01	14:12:07	16602967	120.3790
2023-08-01	14:12:07	16608886	120.3790
2023-08-01	14:12:07	16619060	120.3790
2023-08-01	14:12:07	16624309	120.3790
2023-08-01	14:12:07	16630495	120.3790
2023-08-01	14:12:07	16635653	120.3790
2023-08-01	14:12:07	16642136	120.3790
2023-08-01	14:12:07	16646984	120.3790
2023-08-01	14:12:07	16651725	120.3790
2023-08-01	14:12:07	16655747	120.3790
2023-08-01	14:12:07	16659866	120.3790
2023-08-01	14:12:07	16664393	120.3790
2023-08-01	14:12:07	16670337	120.3790
2023-08-01	14:12:07	16676227	120.3790
2023-08-01	14:12:07	16681949	120.3790
2023-08-01	14:12:07	16689807	120.3790
2023-08-01	14:12:07	16695902	120.3790
2023-08-01	14:12:07	16702030	120.3790
2023-08-01	14:12:07	16709727	120.3790
2023-08-01	14:12:07	16726311	120.3790
2023-08-01	14:12:07	16731793	120.3790
2023-08-01	14:12:07	16737457	120.3790
2023-08-01	14:12:07	16744245	120.3790
2023-08-01	14:12:07	16749336	120.3790
2023-08-01	14:12:07	16754516	120.3790
2023-08-01	14:12:07	16759415	120.3790
2023-08-01	14:12:07	16765834	120.3790
2023-08-01	14:12:07	16771233	120.3790
2023-08-01	14:12:07	16775281	120.3790
2023-08-01	14:12:07	16781826	120.3790
2023-08-01	14:12:07	16787010	120.3790
2023-08-01	14:12:07	16796171	120.3790
2023-08-01	14:12:07	16800127	120.3790
2023-08-01	14:12:07	16804109	120.3790
2023-08-01	14:12:07	16811724	120.3790
2023-08-01	14:12:07	16816544	120.3790
2023-08-01	14:12:07	16820448	120.3790
2023-08-01	14:12:07	16824663	120.3790
2023-08-01	14:12:07	16833176	120.3790
2023-08-01	14:12:07	16838399	120.3790
2023-08-01	14:12:07	16844649	120.3790
2023-08-01	14:12:07	16849496	120.3790
2023-08-01	14:12:07	16854059	120.3790
2023-08-01	14:12:07	16859519	120.3790
2023-08-01	14:12:07	16867253	120.3790
2023-08-01	14:12:07	16871394	120.3790
2023-08-01	14:12:07	16883078	120.3790
2023-08-01	14:12:07	16888630	120.3790
2023-08-01	14:12:07	16892945	120.3790
2023-08-01	14:12:07	16897395	120.3790
2023-08-01	14:12:07	16901542	120.3790
2023-08-01	14:12:07	16906022	120.3790
2023-08-01	14:12:07	16910539	120.3790
2023-08-01	14:12:07	16913833	120.3790
2023-08-01	14:12:07	16917864	120.3790
2023-08-01	14:12:07	16922835	120.3790
2023-08-01	14:12:07	16928106	120.3790
2023-08-01	14:12:07	16933835	120.3790
2023-08-01	14:12:07	16940000	120.3790
2023-08-01	14:12:07	16944604	120.3790
2023-08-01	14:12:07	16963694	120.3790
2023-08-01	14:12:07	16968702	120.3790
2023-08-01	14:12:07	16974150	120.3790
2023-08-01	14:12:07	16978142	120.3790
2023-08-01	14:12:07	16981604	120.3790
2023-08-01	14:12:07	16985303	120.3790
2023-08-01	14:12:07	16992778	120.3790
2023-08-01	14:12:07	17001741	120.3790
2023-08-01	14:12:07	17006967	120.3790
2023-08-01	14:12:07	17012162	120.3790
2023-08-01	14:12:07	17019059	120.3790
2023-08-01	14:12:07	17023373	120.3790
2023-08-01	14:12:07	17028655	120.3790
2023-08-01	14:12:07	17033817	120.3790
2023-08-01	14:12:07	17038059	120.3790
2023-08-01	14:12:07	17042537	120.3790
2023-08-01	14:12:07	17047453	120.3790
2023-08-01	14:12:07	17051743	120.3790
2023-08-01	14:12:07	17056154	120.3790
2023-08-01	14:12:07	17060830	120.3790
2023-08-01	14:12:07	17065183	120.3790
2023-08-01	14:12:07	17068573	120.3790
2023-08-01	14:12:07	17073594	120.3790
2023-08-01	14:12:07	17079326	120.3790
2023-08-01	14:12:07	17085513	120.3790
2023-08-01	14:12:07	17092181	120.3790
2023-08-01	14:12:07	17097016	120.3790
2023-08-01	14:12:07	17101797	120.3790
2023-08-01	14:12:07	17105907	120.3790
2023-08-01	14:12:07	17111261	120.3790
2023-08-01	14:12:07	17117074	120.3790
2023-08-01	14:12:07	17123135	120.3790
2023-08-01	14:12:07	17127620	120.3790
2023-08-01	14:12:07	17131912	120.3790
2023-08-01	14:12:07	17136442	120.3790
2023-08-01	14:12:07	17141468	120.3790
2023-08-01	14:12:07	17146873	120.3790
2023-08-01	14:12:07	17151396	120.3790
2023-08-01	14:12:07	17155562	120.3790
2023-08-01	14:12:07	17160517	120.3790
2023-08-01	14:12:07	17164469	120.3790
2023-08-01	14:12:07	17168344	120.3790
2023-08-01	14:12:07	17177510	120.3790
2023-08-01	14:12:07	17181957	120.3790
2023-08-01	14:12:07	17187460	120.3790
2023-08-01	14:12:07	17192219	120.3790
2023-08-01	14:12:07	17196653	120.3790
2023-08-01	14:12:07	17200802	120.3790
2023-08-01	14:12:07	17206491	120.3790
2023-08-01	14:12:07	17213872	120.3790
2023-08-01	14:12:07	17219499	120.3790
2023-08-01	14:12:07	17223668	120.3790
2023-08-01	14:12:07	17228458	120.3790
2023-08-01	14:12:07	17233096	120.3790
2023-08-01	14:12:07	17237420	120.3790
2023-08-01	14:12:07	17250855	120.3790
2023-08-01	14:12:07	17255434	120.3790
2023-08-01	14:12:07	17260403	120.3790
2023-08-01	14:12:07	17265212	120.3790
2023-08-01	14:12:07	17271044	120.3790
2023-08-01	14:12:07	17277607	120.3790
2023-08-01	14:12:07	17282947	120.3790
2023-08-01	14:12:07	17288228	120.3790
2023-08-01	14:12:07	17293667	120.3790
2023-08-01	14:12:07	17298237	120.3790
2023-08-01	14:12:07	17303637	120.3790
2023-08-01	14:12:07	17308521	120.3790
2023-08-01	14:12:07	17312885	120.3790
2023-08-01	14:12:08	17332207	120.3790
2023-08-01	14:12:08	17340322	120.3790
2023-08-01	14:12:08	17352257	120.3790
